id,city,name,neighborhood,nightly_price_usd,review_score,walk_score,notes
H0106,Austin,Austin Proper Hotel,Financial District,282,4.1,73,Near museums
H0107,Austin,JW Marriott Austin,Downtown,228,4.5,80,Quiet area
H0108,Austin,The LINE Austin,Near Park,229,4.1,80,Quiet area
H0109,Austin,Hotel Saint Cecilia,Downtown,353,4.7,98,Near museums
H0110,Austin,Hotel ZaZa Austin,Downtown,214,3.7,90,Near museums
H0111,Denver,The Brown Palace Hotel,University,342,4.8,67,Beach access
H0112,Denver,The Crawford Hotel,Near Transit,382,4.9,60,Great nightlife
H0113,Denver,Hotel Teatro,Historic District,411,4.3,72,Good breakfast
H0114,Denver,The Maven Hotel,Near Park,366,3.7,61,Quiet area
H0115,Denver,The Oxford Hotel,Financial District,133,4.8,67,Quiet area
H0116,Denver,Kimpton Hotel Born,Near Transit,272,3.8,96,Near museums
H0117,Denver,The Rally Hotel,Financial District,196,3.9,96,Close to transit
H0118,Denver,"Halcyon, a hotel in Cherry Creek",Near Park,214,3.9,86,Close to transit
H0119,Denver,The Jacquard,Near Park,366,3.8,68,Great nightlife
H0120,Denver,Four Seasons Denver,Historic District,167,4.3,73,Near museums
H0121,Portland,The Nines,Historic District,200,3.9,69,Near museums
H0122,Portland,Dossier Hotel,Waterfront,335,4.1,80,Good breakfast
H0123,Portland,Hotel Lucia,Waterfront,207,3.7,93,Close to transit
H0124,Portland,Jupiter NEXT,Downtown,143,4.3,98,Close to transit
H0125,Portland,Sentinel,Waterfront,284,3.9,97,Near museums
H0126,Portland,The Benson Portland,Arts District,286,4.8,85,Beach access
H0127,Portland,Hotel deLuxe,Near Park,381,4.3,70,Good breakfast
H0128,Portland,Kimpton RiverPlace,Downtown,248,4.6,73,Quiet area
H0129,Portland,Hyatt Regency Portland,Near Park,320,4.8,87,Near museums
H0130,Portland,Canopy by Hilton Pearl District,University,131,4.2,87,Near museums
H0131,Philadelphia,The Rittenhouse,Financial District,249,4.9,87,Good breakfast
H0132,Philadelphia,Kimpton Hotel Monaco Philadelphia,Financial District,348,4.5,62,Near museums
H0133,Philadelphia,The Logan Philadelphia,Near Transit,278,4.3,90,Quiet area
H0134,Philadelphia,Loews Philadelphia Hotel,Financial District,247,3.7,90,Close to transit
H0135,Philadelphia,The Bellevue Hotel,Waterfront,182,4.2,82,Near museums
H0136,Philadelphia,AKA Rittenhouse Square,Financial District,366,4.0,99,Quiet area
H0137,Philadelphia,Penn's View Hotel,Near Transit,104,4.4,65,Great nightlife
H0138,Philadelphia,The Study at University City,Financial District,171,4.1,80,Great nightlife
H0139,Philadelphia,Sonesta Philadelphia,Near Park,347,4.4,60,Quiet area
H0140,Philadelphia,The Notary Hotel,Historic District,200,4.8,74,Near museums
H0141,San Diego,Hotel del Coronado,Arts District,292,3.8,96,Near museums
H0142,San Diego,Pendry San Diego,Downtown,398,4.4,75,Great nightlife
H0143,San Diego,Hotel Indigo San Diego,Downtown,168,4.3,97,Beach access
H0144,San Diego,The US Grant,Waterfront,252,4.1,91,Great nightlife
H0145,San Diego,Kimpton Alma San Diego,Near Park,353,4.1,77,Beach access
H0146,San Diego,Manchester Grand Hyatt,University,208,4.2,71,Near museums
H0147,San Diego,Omni San Diego Hotel,Waterfront,202,4.2,64,Near museums
H0148,San Diego,La Valencia Hotel,Financial District,131,3.8,66,Great nightlife
H0149,San Diego,Fairmont Grand Del Mar,Near Transit,209,4.2,90,Great nightlife
H0150,San Diego,The Guild Hotel,Financial District,172,4.8,68,Close to transit
