id,city,name,theme,duration_hours,cost_usd,opening_hours,notes
A0036,San Francisco,Chinatown,food,1.7,15,09:00-19:00,Good for groups
A0037,San Francisco,Lombard Street,nature,3.7,85,11:00-19:00,Book ahead
A0038,San Francisco,Pier 39,themepark,2.1,20,09:00-18:00,Popular with students
A0039,San Francisco,Coit Tower,history,3.7,120,09:00-20:00,Book ahead
A0040,San Francisco,Painted Ladies,food,2.6,20,09:00-19:00,Good for groups
A0041,San Francisco,Exploratorium,nature,1.9,40,09:00-20:00,Popular with students
A0042,San Francisco,Twin Peaks,nightlife,1.7,85,08:00-20:00,Good for groups
A0043,San Francisco,Ferry Building,sports,2.1,0,08:00-18:00,Accessible by transit
A0044,San Francisco,Ghirardelli Square,nature,1.7,15,11:00-20:00,Family friendly
A0045,San Francisco,Cable Car Museum,sports,2.5,30,11:00-19:00,Great photo spots
A0046,New Orleans,French Quarter,beach,2.1,0,08:00-21:00,Popular with students
A0047,New Orleans,Jackson Square,sports,3.1,85,09:00-20:00,Great photo spots
A0048,New Orleans,Bourbon Street,music,2.4,50,11:00-18:00,Great photo spots
A0049,New Orleans,St. Louis Cathedral,food,3.1,50,11:00-18:00,Good for groups
A0050,New Orleans,Garden District,nature,2.7,50,08:00-21:00,Book ahead
A0051,New Orleans,Frenchmen Street,music,1.3,50,10:00-19:00,Local favorite
A0052,New Orleans,Café du Monde,nature,3.8,120,11:00-20:00,Accessible by transit
A0053,New Orleans,Audubon Aquarium,tech,3.3,50,08:00-21:00,Great photo spots
A0054,New Orleans,Preservation Hall,food,1.7,20,09:00-18:00,Great photo spots
A0055,New Orleans,City Park,tech,3.0,30,10:00-20:00,Accessible by transit
A0056,New Orleans,National WWII Museum,beach,2.9,20,08:00-18:00,Accessible by transit
A0057,New Orleans,The Cabildo,food,1.2,0,08:00-20:00,Local favorite
A0058,New Orleans,Faubourg Marigny,nightlife,2.5,15,11:00-18:00,Good for groups
A0059,New Orleans,Audubon Zoo,history,3.3,65,09:00-19:00,Book ahead
A0060,New Orleans,Lafayette Cemetery No. 1,sports,2.5,65,08:00-21:00,Popular with students
A0061,Orlando,Magic Kingdom,family,1.1,65,09:00-18:00,Book ahead
A0062,Orlando,EPCOT,beach,1.1,0,11:00-20:00,Local favorite
A0063,Orlando,Disney's Hollywood Studios,tech,3.9,15,11:00-21:00,Book ahead
A0064,Orlando,Disney's Animal Kingdom,beach,3.9,40,11:00-21:00,Popular with students
A0065,Orlando,Universal Studios Florida,tech,2.6,65,08:00-20:00,Popular with students
A0066,Orlando,Islands of Adventure,nightlife,3.0,85,11:00-21:00,Family friendly
A0067,Orlando,Universal CityWalk,beach,1.3,85,10:00-17:00,Family friendly
A0068,Orlando,ICON Park,nightlife,3.0,40,08:00-20:00,Great photo spots
A0069,Orlando,SeaWorld Orlando,family,2.7,65,08:00-19:00,Local favorite
A0070,Orlando,Gatorland,themepark,2.8,50,10:00-21:00,Great photo spots
A0071,Orlando,Lake Eola Park,themepark,2.2,0,11:00-20:00,Family friendly
A0072,Orlando,Kennedy Space Center Visitor Complex,sports,3.2,20,11:00-19:00,Local favorite
A0073,Orlando,Disney Springs,music,1.1,40,08:00-18:00,Book ahead
A0074,Orlando,Typhoon Lagoon,beach,3.3,30,08:00-18:00,Good for groups
A0075,Orlando,Blizzard Beach,nature,1.7,65,09:00-21:00,Family friendly
A0076,Miami,South Beach,family,2.8,20,08:00-18:00,Accessible by transit
A0077,Miami,Wynwood Walls,music,3.7,50,09:00-20:00,Great photo spots
A0078,Miami,Vizcaya Museum and Gardens,music,3.9,40,10:00-17:00,Family friendly
A0079,Miami,Little Havana,nature,3.4,0,08:00-18:00,Good for groups
A0080,Miami,Miami Design District,beach,2.2,120,08:00-19:00,Book ahead
A0081,Miami,Bayside Marketplace,food,1.5,20,10:00-21:00,Local favorite
A0082,Miami,Perez Art Museum Miami,beach,2.7,15,11:00-21:00,Good for groups
A0083,Miami,Phillip and Patricia Frost Museum of Science,history,2.5,15,09:00-18:00,Good for groups
A0084,Miami,Bill Baggs Cape Florida State Park,nature,1.7,0,08:00-19:00,Popular with students
A0085,Miami,Crandon Park,history,3.3,120,10:00-18:00,Great photo spots
A0086,Miami,Ocean Drive,family,3.1,65,09:00-21:00,Accessible by transit
A0087,Miami,Venetian Pool,nature,3.4,120,09:00-18:00,Family friendly
A0088,Miami,Lincoln Road,family,3.7,30,08:00-17:00,Great photo spots
A0089,Miami,Fairchild Tropical Botanic Garden,nature,3.3,40,10:00-17:00,Local favorite
A0090,Miami,Art Deco Historic District,nature,3.8,85,09:00-20:00,Popular with students
A0091,Boston,Freedom Trail,food,2.0,20,09:00-18:00,Popular with students
A0092,Boston,Fenway Park,beach,1.3,65,08:00-18:00,Great photo spots
A0093,Boston,Boston Common,tech,3.0,65,11:00-17:00,Popular with students
A0094,Boston,Faneuil Hall Marketplace,nightlife,2.0,30,11:00-19:00,Good for groups
A0095,Boston,Museum of Fine Arts,tech,2.6,20,11:00-17:00,Book ahead
A0096,Boston,New England Aquarium,nightlife,1.8,15,09:00-20:00,Book ahead
A0097,Boston,Isabella Stewart Gardner Museum,tech,1.8,85,10:00-20:00,Family friendly
A0098,Boston,Boston Public Library,food,3.8,85,08:00-21:00,Accessible by transit
A0099,Boston,Harvard Yard,nightlife,1.8,40,11:00-17:00,Great photo spots
A0100,Boston,MIT Museum,music,3.1,20,11:00-18:00,Popular with students
A0101,Boston,Boston Tea Party Ships & Museum,tech,3.6,50,11:00-17:00,Family friendly
A0102,Boston,USS Constitution Museum,sports,3.2,15,11:00-18:00,Book ahead
A0103,Boston,North End,nightlife,2.5,40,10:00-20:00,Good for groups
A0104,Boston,Beacon Hill,tech,1.9,85,09:00-18:00,Book ahead
A0105,Boston,Seaport District,sports,2.5,0,11:00-17:00,Book ahead
A0106,Chicago,Millennium Park,music,3.5,50,09:00-20:00,Good for groups
A0107,Chicago,The Art Institute of Chicago,beach,2.4,65,09:00-17:00,Popular with students
A0108,Chicago,Navy Pier,sports,3.9,30,10:00-20:00,Great photo spots
A0109,Chicago,Cloud Gate (The Bean),nightlife,2.1,85,11:00-19:00,Accessible by transit
A0110,Chicago,Willis Tower Skydeck,food,1.7,40,08:00-21:00,Local favorite
A0111,Chicago,Field Museum,tech,3.3,65,10:00-21:00,Accessible by transit
A0112,Chicago,Shedd Aquarium,sports,1.5,120,11:00-19:00,Book ahead
A0113,Chicago,Museum of Science and Industry,nightlife,1.9,85,11:00-17:00,Accessible by transit
A0114,Chicago,Chicago Riverwalk,themepark,2.5,0,09:00-17:00,Book ahead
A0115,Chicago,Magnificent Mile,nature,3.3,30,09:00-20:00,Good for groups
A0116,Chicago,Lincoln Park Zoo,nature,2.3,120,11:00-21:00,Popular with students
A0117,Chicago,Wrigley Field,beach,3.2,20,09:00-17:00,Accessible by transit
A0118,Chicago,Chicago Theatre,history,3.8,40,10:00-17:00,Great photo spots
A0119,Chicago,360 Chicago,music,2.0,65,09:00-17:00,Popular with students
A0120,Chicago,Garfield Park Conservatory,food,2.5,0,11:00-19:00,Book ahead
A0121,Los Angeles,Griffith Observatory,tech,4.0,40,09:00-20:00,Great photo spots
A0122,Los Angeles,The Getty Center,history,3.4,85,10:00-18:00,Family friendly
A0123,Los Angeles,Santa Monica Pier,sports,3.4,120,08:00-18:00,Book ahead
A0124,Los Angeles,Hollywood Walk of Fame,family,3.0,120,09:00-17:00,Family friendly
A0125,Los Angeles,Universal Studios Hollywood,family,2.2,50,08:00-17:00,Accessible by transit
A0126,Los Angeles,The Broad,nightlife,3.3,50,10:00-20:00,Great photo spots
A0127,Los Angeles,LACMA,themepark,3.1,40,09:00-19:00,Family friendly
A0128,Los Angeles,Runyon Canyon,tech,2.7,65,08:00-17:00,Family friendly
A0129,Los Angeles,Venice Beach Boardwalk,beach,2.8,65,10:00-20:00,Great photo spots
A0130,Los Angeles,The Grove,nightlife,3.4,120,09:00-20:00,Popular with students
A0131,Los Angeles,Hollywood Sign Viewpoint,tech,3.3,30,10:00-20:00,Good for groups
A0132,Los Angeles,Walt Disney Concert Hall,beach,3.1,40,09:00-20:00,Good for groups
A0133,Los Angeles,Rodeo Drive,themepark,3.0,30,10:00-21:00,Accessible by transit
A0134,Los Angeles,Huntington Library,themepark,1.6,30,10:00-20:00,Book ahead
A0135,Los Angeles,El Matador State Beach,beach,1.3,50,09:00-21:00,Great photo spots
A0136,Las Vegas,The Strip,history,2.2,40,08:00-19:00,Good for groups
A0137,Las Vegas,Bellagio Fountains,themepark,1.4,15,10:00-19:00,Good for groups
A0138,Las Vegas,Fremont Street Experience,music,2.2,85,10:00-21:00,Book ahead
A0139,Las Vegas,High Roller,nature,3.0,0,09:00-19:00,Great photo spots
A0140,Las Vegas,Hoover Dam,family,3.3,65,10:00-19:00,Popular with students
A0141,Las Vegas,Red Rock Canyon,sports,1.9,0,10:00-18:00,Great photo spots
A0142,Las Vegas,The Neon Museum,family,1.4,50,10:00-17:00,Family friendly
A0143,Las Vegas,The Mob Museum,history,2.3,15,11:00-20:00,Book ahead
A0144,Las Vegas,Stratosphere Tower,family,2.6,0,10:00-20:00,Family friendly
A0145,Las Vegas,Welcome to Fabulous Las Vegas sign,nature,2.7,85,11:00-19:00,Great photo spots
A0146,Las Vegas,Shark Reef Aquarium,arts,3.7,15,09:00-18:00,Great photo spots
A0147,Las Vegas,The Sphere,beach,1.6,120,09:00-18:00,Family friendly
A0148,Las Vegas,Eiffel Tower Viewing Deck,sports,3.5,50,11:00-19:00,Local favorite
A0149,Las Vegas,Seven Magic Mountains,beach,1.6,30,11:00-21:00,Accessible by transit
A0150,Las Vegas,Springs Preserve,arts,1.1,50,08:00-17:00,Book ahead
A0151,Austin,Zilker Park,family,1.4,20,09:00-17:00,Family friendly
A0152,Austin,Barton Springs Pool,themepark,1.4,65,09:00-19:00,Great photo spots
A0153,Austin,Lady Bird Lake Hike-and-Bike Trail,themepark,3.3,85,08:00-20:00,Book ahead
A0154,Austin,South Congress Avenue,nightlife,1.6,50,08:00-20:00,Accessible by transit
A0155,Austin,Texas State Capitol,arts,1.6,120,08:00-20:00,Good for groups
A0156,Austin,The Domain,arts,2.8,15,10:00-18:00,Popular with students
A0157,Austin,Rainey Street,arts,3.4,50,10:00-17:00,Accessible by transit
A0158,Austin,Bullock Texas State History Museum,food,3.3,0,10:00-20:00,Good for groups
A0159,Austin,UT Austin Campus,tech,2.4,50,10:00-21:00,Good for groups
A0160,Austin,Mount Bonnell,beach,1.6,20,08:00-18:00,Good for groups
A0161,Austin,Blanton Museum of Art,family,3.0,65,09:00-17:00,Local favorite
A0162,Austin,Cathedral of Junk,food,2.6,0,09:00-17:00,Family friendly
A0163,Austin,Congress Avenue Bridge Bats,tech,2.3,40,10:00-17:00,Accessible by transit
A0164,Austin,LBJ Presidential Library,themepark,1.8,0,10:00-18:00,Accessible by transit
A0165,Austin,The Moody Center,arts,3.2,30,09:00-18:00,Popular with students
A0166,Denver,Red Rocks Park and Amphitheatre,sports,3.0,40,09:00-20:00,Accessible by transit
A0167,Denver,Denver Botanic Gardens,family,3.8,0,11:00-20:00,Local favorite
A0168,Denver,Denver Art Museum,beach,2.5,15,11:00-21:00,Good for groups
A0169,Denver,Union Station,beach,2.2,20,11:00-20:00,Great photo spots
A0170,Denver,Coors Field,history,3.3,65,09:00-21:00,Accessible by transit
A0171,Denver,16th Street Mall,nature,1.8,30,08:00-20:00,Local favorite
A0172,Denver,Denver Museum of Nature & Science,family,2.7,120,09:00-21:00,Great photo spots
A0173,Denver,City Park,history,1.0,50,09:00-19:00,Great photo spots
A0174,Denver,Larimer Square,food,1.1,20,08:00-17:00,Accessible by transit
A0175,Denver,Wings Over the Rockies,tech,3.6,30,11:00-19:00,Good for groups
A0176,Denver,Mount Evans Scenic Byway,sports,1.6,120,11:00-20:00,Great photo spots
A0177,Denver,Washington Park,beach,2.0,30,10:00-17:00,Local favorite
A0178,Denver,Capitol Building,arts,2.3,15,10:00-21:00,Good for groups
A0179,Denver,Meow Wolf Denver,music,2.7,20,08:00-19:00,Family friendly
A0180,Denver,Cherry Creek Trail,beach,2.5,65,08:00-18:00,Book ahead
A0181,Portland,Powell's City of Books,nightlife,2.9,15,11:00-18:00,Family friendly
A0182,Portland,Washington Park,music,2.1,65,09:00-20:00,Book ahead
A0183,Portland,International Rose Test Garden,family,1.9,15,11:00-17:00,Book ahead
A0184,Portland,Portland Japanese Garden,food,2.2,85,09:00-21:00,Popular with students
A0185,Portland,Pittock Mansion,family,1.1,0,09:00-17:00,Local favorite
A0186,Portland,OMSI,nature,3.6,50,08:00-18:00,Good for groups
A0187,Portland,Lan Su Chinese Garden,sports,1.7,40,11:00-20:00,Accessible by transit
A0188,Portland,Tom McCall Waterfront Park,food,1.7,50,08:00-19:00,Family friendly
A0189,Portland,Forest Park,tech,3.7,0,11:00-18:00,Popular with students
A0190,Portland,Alberta Arts District,tech,3.0,85,09:00-17:00,Local favorite
A0191,Portland,Tilikum Crossing,themepark,1.0,65,09:00-21:00,Local favorite
A0192,Portland,St. Johns Bridge,food,2.8,85,10:00-18:00,Family friendly
A0193,Portland,Crystal Springs Rhododendron Garden,family,1.3,20,10:00-17:00,Book ahead
A0194,Portland,Mt. Tabor Park,themepark,1.1,40,11:00-21:00,Great photo spots
A0195,Portland,Sellwood Riverfront Park,sports,2.5,0,11:00-17:00,Book ahead
A0196,Philadelphia,Liberty Bell,music,1.6,40,09:00-21:00,Book ahead
A0197,Philadelphia,Independence Hall,nature,3.7,40,11:00-18:00,Book ahead
A0198,Philadelphia,Philadelphia Museum of Art,nature,3.1,30,09:00-21:00,Great photo spots
A0199,Philadelphia,Reading Terminal Market,tech,1.4,30,10:00-18:00,Accessible by transit
A0200,Philadelphia,Eastern State Penitentiary,nature,2.2,85,11:00-18:00,Good for groups
A0201,Philadelphia,Franklin Institute,family,3.7,65,10:00-18:00,Family friendly
A0202,Philadelphia,LOVE Park,family,3.0,65,10:00-18:00,Great photo spots
A0203,Philadelphia,Betsy Ross House,family,4.0,85,09:00-18:00,Great photo spots
A0204,Philadelphia,Rittenhouse Square,sports,2.0,120,10:00-17:00,Local favorite
A0205,Philadelphia,Barnes Foundation,nightlife,1.6,40,08:00-18:00,Popular with students
A0206,Philadelphia,Spruce Street Harbor Park,nature,2.7,50,09:00-19:00,Good for groups
A0207,Philadelphia,Rodin Museum,nature,3.4,0,08:00-21:00,Popular with students
A0208,Philadelphia,Please Touch Museum,beach,1.5,40,08:00-21:00,Good for groups
A0209,Philadelphia,Elfreth's Alley,nightlife,1.6,85,10:00-20:00,Popular with students
A0210,Philadelphia,Citizens Bank Park,nature,1.8,15,11:00-19:00,Good for groups
A0211,San Diego,Balboa Park,music,1.9,15,09:00-21:00,Local favorite
A0212,San Diego,San Diego Zoo,sports,2.0,40,10:00-21:00,Popular with students
A0213,San Diego,USS Midway Museum,arts,4.0,0,08:00-21:00,Accessible by transit
A0214,San Diego,La Jolla Cove,family,2.7,65,10:00-19:00,Great photo spots
A0215,San Diego,Coronado Beach,sports,1.5,120,10:00-18:00,Family friendly
A0216,San Diego,Cabrillo National Monument,food,2.7,0,09:00-19:00,Family friendly
A0217,San Diego,Seaport Village,music,2.4,120,11:00-21:00,Accessible by transit
A0218,San Diego,Old Town San Diego State Historic Park,history,1.1,15,08:00-19:00,Good for groups
A0219,San Diego,Gaslamp Quarter,history,1.1,0,09:00-18:00,Book ahead
A0220,San Diego,Torrey Pines State Natural Reserve,nature,3.5,15,09:00-20:00,Local favorite
A0221,San Diego,Belmont Park,history,2.6,40,10:00-18:00,Great photo spots
A0222,San Diego,Petco Park,tech,1.5,65,09:00-18:00,Book ahead
A0223,San Diego,Sunset Cliffs Natural Park,nightlife,1.4,50,09:00-20:00,Book ahead
A0224,San Diego,Mission Beach Boardwalk,food,2.6,85,08:00-21:00,Family friendly
A0225,San Diego,Little Italy,sports,2.7,15,10:00-21:00,Popular with students
